 framenumber,eulers.phi, eulers.theta, eulers.psi, euler_rates.phi_dot, euler_rates.theta_dot, euler_rates.psi_dot, rates.X, rates.Y, rates.Z, accels.X, accels.Y, accels.Z,sin
796,-0.0642732,-0.132147,0.273917,0.0331007,-0.0112086,-0.0350966,0.0284762,-0.00895093,-0.0354387,0.0982519,-0.00855248,0.953319,-0.110923226
797,-0.0639436,-0.132194,0.27357,0.0328723,-0.00468697,-0.0345816,0.0283141,-0.0024869,-0.0345093,0.0872742,-0.008046,0.982844,-0.126736742
798,-0.0636081,-0.132235,0.273207,0.0334687,-0.00400963,-0.0362529,0.0286888,-0.00171722,-0.0361186,0.0926348,-0.00692358,0.984299,-0.142518111
799,-0.0633029,-0.132281,0.272823,0.0304762,-0.00461559,-0.0383427,0.025419,-0.00220195,-0.0382236,0.0955411,-0.00819084,0.981579,-0.158263331
800,-0.0630012,-0.132331,0.272444,0.0300317,-0.00494369,-0.0377461,0.0250513,-0.00257818,-0.0376531,0.0954216,-0.00995494,0.973327,-0.173968407
801,-0.0627141,-0.132302,0.272053,0.0285396,0.00290024,-0.0388026,0.0234209,0.00530516,-0.0382061,0.0943511,-0.00206805,0.972209,-0.189629356
802,-0.0624156,-0.13232,0.271666,0.0297638,-0.00182114,-0.0386426,0.0246655,0.000571665,-0.0383438,0.0907944,-0.00455931,0.959308,-0.205242206
803,-0.0621078,-0.132274,0.27128,0.0306046,0.00459921,-0.0384181,0.0255377,0.00695404,-0.0377236,0.0918988,-0.00646102,0.965298,-0.220802997
804,-0.0618219,-0.132274,0.270892,0.0286022,-3.70E-05,-0.038744,0.0234923,0.00233582,-0.0383345,0.0960314,-0.00968803,0.963159,-0.236307781
805,-0.0615382,-0.132351,0.2705,0.0274594,-0.00742277,-0.0379395,0.0224527,-0.00509587,-0.037993,0.0857689,-0.0129811,0.958646,-0.251752626
806,-0.0613002,-0.132344,0.270135,0.024198,0.00074121,-0.0371378,0.0192974,0.00299505,-0.0366985,0.0915486,-0.0189596,0.97738,-0.267133614
807,-0.061074,-0.132292,0.269773,0.022558,0.00520068,-0.0361052,0.0177955,0.00737544,-0.0354056,0.0983005,-0.0159944,0.972451,-0.282446843
808,-0.0608226,-0.132246,0.269423,0.0250575,0.00453365,-0.0349268,0.020452,0.00662976,-0.0342822,0.0942826,-0.00845018,0.973186,-0.297688431
809,-0.0605248,-0.132219,0.26909,0.0291837,0.00268114,-0.0325646,0.0248906,0.0046288,-0.032059,0.100666,-0.01232,0.953997,-0.31285451
810,-0.0602097,-0.132178,0.268796,0.0315713,0.00415703,-0.0294565,0.0276892,0.00590653,-0.0288965,0.0991826,-0.0155057,0.961648,-0.327941233
811,-0.0598425,-0.132198,0.268516,0.0367932,-0.00206945,-0.0280447,0.0330965,-0.000403119,-0.027874,0.0955012,-0.0145111,0.951053,-0.342944775
812,-0.0594784,-0.132192,0.268238,0.0362322,0.000602826,-0.0276791,0.0325839,0.00223274,-0.0273532,0.0940407,-0.0136687,0.954,-0.357861328
813,-0.0591455,-0.132133,0.267969,0.0331864,0.00593857,-0.0268515,0.0296488,0.00750157,-0.0262199,0.0997492,-0.023312,0.969926,-0.372687111
814,-0.0588463,-0.132079,0.267713,0.0297865,0.00535027,-0.025493,0.0264291,0.00682725,-0.0249125,0.0953631,-0.0205299,0.975608,-0.387418362
815,-0.0585485,-0.132016,0.267471,0.0297116,0.00633694,-0.0241731,0.0265296,0.00772827,-0.0235509,0.0978917,-0.0115981,0.967819,-0.402051344
816,-0.0582217,-0.131938,0.267223,0.0319877,0.00762262,-0.0242229,0.028801,0.00900695,-0.0235282,0.0967144,-0.00740749,0.956472,-0.416582347
817,-0.0578822,-0.131923,0.266985,0.0343496,0.00151479,-0.0241408,0.031174,0.00289667,-0.0238034,0.0978871,-0.0103035,0.949968,-0.431007684
818,-0.0575033,-0.131925,0.266751,0.0369955,-0.000160813,-0.0228089,0.0339952,0.00113893,-0.0225826,0.100264,-0.0122428,0.945835,-0.445323696
819,-0.0571615,-0.13187,0.266538,0.0347811,0.00565167,-0.0216378,0.031936,0.00686788,-0.021092,0.0895499,-0.0166224,0.968543,-0.459526752
820,-0.0568187,-0.131802,0.266334,0.0339927,0.00670771,-0.0202245,0.0313347,0.00783543,-0.0196358,0.0973089,-0.0191475,0.966315,-0.473613249
821,-0.0564975,-0.131782,0.266152,0.0319779,0.00199581,-0.0181913,0.0295875,0.00301093,-0.0178921,0.0996554,-0.0233117,0.962486,-0.487579615
822,-0.0561733,-0.13176,0.265995,0.0323097,0.0021781,-0.0156193,0.0302577,0.00304399,-0.0153372,0.100236,-0.0298565,0.956182,-0.501422306
823,-0.0558596,-0.131619,0.265863,0.0311519,0.0140092,-0.0130602,0.0294379,0.0147102,-0.0121449,0.102906,-0.0220849,0.966124,-0.515137813
824,-0.0554921,-0.131557,0.265786,0.0365952,0.0062068,-0.00775294,0.0355782,0.00662353,-0.00732986,0.100938,-0.0253536,0.950318,-0.528722655
825,-0.0550613,-0.131483,0.265737,0.0422069,0.00726641,-0.00474245,0.0415852,0.00751414,-0.0042945,0.0995996,-0.024133,0.950464,-0.542173387
826,-0.0546317,-0.131443,0.265714,0.043664,0.00404611,-0.00229948,0.0433626,0.00416455,-0.0020553,0.107645,-0.0283732,0.95471,-0.555486597
827,-0.054213,-0.131464,0.265712,0.0417587,-0.00211792,-0.000241714,0.041727,-0.00210183,-0.000354039,0.0891114,-0.0312931,0.95489,-0.568658908
828,-0.0538262,-0.131423,0.265726,0.0384524,0.00413312,0.00142749,0.0386395,0.004051,0.00163549,0.0897349,-0.0280902,0.973181,-0.581686979
829,-0.0534643,-0.131272,0.265742,0.0359198,0.014959,0.00153642,0.036121,0.0148562,0.00232041,0.0993047,-0.0195104,0.978575,-0.594567507
830,-0.0530786,-0.13117,0.265749,0.0386043,0.0101789,0.000702874,0.0386962,0.0101276,0.00123588,0.091999,-0.00795281,0.968428,-0.607297222
831,-0.0526561,-0.131134,0.265747,0.0421196,0.00358652,-0.000198093,0.0420937,0.00359188,-7.36E-06,0.0918306,-0.00508858,0.949406,-0.619872897
832,-0.0522155,-0.131045,0.265751,0.0437632,0.00882642,0.000462646,0.0438236,0.00879045,0.000918721,0.0917638,-0.00364169,0.959558,-0.632291342
833,-0.0517373,-0.131004,0.265755,0.0477068,0.00408946,0.000356055,0.0477533,0.00406573,0.000564015,0.0911651,-0.00654326,0.954519,-0.644549406
834,-0.0512755,-0.130979,0.265751,0.0453341,0.00249384,-0.000419128,0.0452794,0.00251186,-0.000287175,0.0900995,-0.00785596,0.95457,-0.656643982
835,-0.0508567,-0.130948,0.265742,0.0418748,0.00311438,-0.000880618,0.0417598,0.00315473,-0.000713632,0.0970895,-0.0206078,0.960643,-0.668572
836,-0.0505,-0.130901,0.265753,0.035833,0.00472652,0.00115552,0.0359838,0.00466266,0.00138276,0.095273,-0.0305444,0.975589,-0.680330435
837,-0.0501537,-0.130861,0.265792,0.034555,0.00398216,0.00380454,0.0350515,0.00378805,0.0039669,0.0950536,-0.0256966,0.966869,-0.691916305
838,-0.0497824,-0.13074,0.265852,0.0367461,0.011918,0.0059294,0.0375191,0.0116107,0.00646457,0.0965116,-0.0225253,0.960364,-0.703326671
839,-0.0493743,-0.130693,0.265944,0.0406615,0.00465531,0.00921445,0.0418624,0.00419874,0.00935449,0.102028,-0.0286662,0.94753,-0.714558638
840,-0.0489121,-0.130702,0.266077,0.0459364,-0.000809416,0.0132346,0.0476613,-0.00145,0.0130665,0.0966985,-0.0278962,0.936345,-0.725609359
841,-0.0484544,-0.130631,0.266226,0.0456656,0.00706147,0.0148356,0.0475981,0.00634074,0.015034,0.0938584,-0.0269625,0.961805,-0.736476029
842,-0.0479822,-0.130563,0.266383,0.047035,0.00676017,0.015656,0.0490733,0.00600786,0.0158292,0.0960811,-0.0265785,0.960714,-0.747155893
843,-0.0474931,-0.130563,0.266542,0.0478869,-6.97E-06,0.015561,0.0499128,-0.000739433,0.0154109,0.0938727,-0.0237679,0.952632,-0.757646241
844,-0.0470172,-0.130567,0.266706,0.0482367,-0.000433602,0.0166531,0.0504049,-0.00120916,0.0164728,0.0971835,-0.0232179,0.947076,-0.767944413
