S0 0: 0.000012
S0 1: 0.000828
Stage 0: 0.001083
S1 0: 0.000067
S1 1: 0.000350
S1 2: 0.000368
Stage 1: 0.001074
S2 0: 0.000015
S2 1: 0.000010
S2 2: 0.000011
S2 3: 0.000258
S2 4: 0.000208
S2 5: 0.000089
Stage 2: 0.001215
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000054
S3 3: 0.000070
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000095
S3 7: 0.000516
Stage 3: 0.002211
S4 0: 0.000072
S4 1: 0.000334
S4 2: 0.000057
S4 3: 0.000153
Stage 4: 0.001042
S5 0: 0.000030
S5 1: 0.000136
S5 2: 0.000551
Stage 5: 0.001009
S0 0: 0.000012
S0 1: 0.000808
Stage 0: 0.001058
S1 0: 0.000067
S1 1: 0.000308
S1 2: 0.000490
Stage 1: 0.001235
S2 0: 0.000012
S2 1: 0.000007
S2 2: 0.000011
S2 3: 0.000246
S2 4: 0.000208
S2 5: 0.000050
Stage 2: 0.001193
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000070
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000095
S3 7: 0.000516
Stage 3: 0.002207
S4 0: 0.000072
S4 1: 0.000334
S4 2: 0.000057
S4 3: 0.000153
Stage 4: 0.001042
S5 0: 0.000030
S5 1: 0.000136
S5 2: 0.000549
Stage 5: 0.001009
S0 0: 0.000012
S0 1: 0.000832
Stage 0: 0.001082
S1 0: 0.000067
S1 1: 0.000308
S1 2: 0.000375
Stage 1: 0.001159
S2 0: 0.000054
S2 1: 0.000007
S2 2: 0.000010
S2 3: 0.000281
S2 4: 0.000212
S2 5: 0.000050
Stage 2: 0.001271
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000070
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000134
S3 7: 0.000555
Stage 3: 0.002254
S4 0: 0.000111
S4 1: 0.000374
S4 2: 0.000057
S4 3: 0.000114
Stage 4: 0.001086
S5 0: 0.000070
S5 1: 0.000097
S5 2: 0.000503
Stage 5: 0.000992
S0 0: 0.000012
S0 1: 0.000811
Stage 0: 0.001062
S1 0: 0.000064
S1 1: 0.000347
S1 2: 0.000738
Stage 1: 0.001568
S2 0: 0.000012
S2 1: 0.000007
S2 2: 0.000010
S2 3: 0.000281
S2 4: 0.000169
S2 5: 0.000026
Stage 2: 0.001174
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000110
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000095
S3 7: 0.000511
Stage 3: 0.002207
S4 0: 0.000111
S4 1: 0.000374
S4 2: 0.000057
S4 3: 0.000103
Stage 4: 0.001072
S5 0: 0.000030
S5 1: 0.000097
S5 2: 0.000502
Stage 5: 0.000993
S0 0: 0.000012
S0 1: 0.000803
Stage 0: 0.001053
S1 0: 0.000064
S1 1: 0.000350
S1 2: 0.000451
Stage 1: 0.001240
S2 0: 0.000012
S2 1: 0.000007
S2 2: 0.000010
S2 3: 0.000282
S2 4: 0.000208
S2 5: 0.000050
Stage 2: 0.001225
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000110
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000134
S3 7: 0.000555
Stage 3: 0.002219
S4 0: 0.000111
S4 1: 0.000374
S4 2: 0.000058
S4 3: 0.000114
Stage 4: 0.001086
S5 0: 0.000070
S5 1: 0.000097
S5 2: 0.000468
Stage 5: 0.000999
S0 0: 0.000012
S0 1: 0.000810
Stage 0: 0.001058
S1 0: 0.000067
S1 1: 0.000308
S1 2: 0.000500
Stage 1: 0.001219
S2 0: 0.000015
S2 1: 0.000007
S2 2: 0.000010
S2 3: 0.000253
S2 4: 0.000212
S2 5: 0.000050
Stage 2: 0.001204
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000070
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000095
S3 7: 0.000516
Stage 3: 0.002208
S4 0: 0.000072
S4 1: 0.000334
S4 2: 0.000057
S4 3: 0.000153
Stage 4: 0.001022
S5 0: 0.000030
S5 1: 0.000136
S5 2: 0.000464
Stage 5: 0.000963
S0 0: 0.000012
S0 1: 0.000810
Stage 0: 0.001060
S1 0: 0.000067
S1 1: 0.000347
S1 2: 0.000483
Stage 1: 0.001270
S2 0: 0.000012
S2 1: 0.000010
S2 2: 0.000013
S2 3: 0.000276
S2 4: 0.000217
S2 5: 0.000050
Stage 2: 0.001275
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000070
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000551
S3 6: 0.000134
S3 7: 0.000516
Stage 3: 0.002255
S4 0: 0.000111
S4 1: 0.000334
S4 2: 0.000057
S4 3: 0.000114
Stage 4: 0.001085
S5 0: 0.000030
S5 1: 0.000097
S5 2: 0.000474
Stage 5: 0.000990
S0 0: 0.000012
S0 1: 0.000808
Stage 0: 0.001055
S1 0: 0.000103
S1 1: 0.000308
S1 2: 0.000527
Stage 1: 0.001333
S2 0: 0.000015
S2 1: 0.000010
S2 2: 0.000013
S2 3: 0.000301
S2 4: 0.000682
S2 5: 0.000050
Stage 2: 0.001704
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000110
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000134
S3 7: 0.000548
Stage 3: 0.002209
S4 0: 0.000193
S4 1: 0.000350
S4 2: 0.000057
S4 3: 0.000153
Stage 4: 0.001177
S5 0: 0.000030
S5 1: 0.000097
S5 2: 0.000522
Stage 5: 0.000977
S0 0: 0.000012
S0 1: 0.000813
Stage 0: 0.001068
S1 0: 0.000067
S1 1: 0.000347
S1 2: 0.000529
Stage 1: 0.001317
S2 0: 0.000054
S2 1: 0.000007
S2 2: 0.000009
S2 3: 0.000283
S2 4: 0.000714
S2 5: 0.000089
Stage 2: 0.001777
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000054
S3 3: 0.000070
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000512
S3 6: 0.000134
S3 7: 0.000516
Stage 3: 0.002216
S4 0: 0.000197
S4 1: 0.000390
S4 2: 0.000097
S4 3: 0.000153
Stage 4: 0.001184
S5 0: 0.000030
S5 1: 0.000136
S5 2: 0.000462
Stage 5: 0.000965
S0 0: 0.000012
S0 1: 0.000814
Stage 0: 0.001067
S1 0: 0.000064
S1 1: 0.000392
S1 2: 0.000276
Stage 1: 0.001109
S2 0: 0.000015
S2 1: 0.000007
S2 2: 0.000013
S2 3: 0.000290
S2 4: 0.000793
S2 5: 0.000066
Stage 2: 0.001947
S3 0: 0.000003
S3 1: 0.000053
S3 2: 0.000015
S3 3: 0.000110
S3 3: 0.000053
S3 4: 0.000056
S3 5: 0.000184
S3 6: 0.000135
S3 7: 0.000075
Stage 3: 0.001601
S4 0: 0.000166
S4 1: 0.000311
S4 2: 0.000057
S4 3: 0.000195
Stage 4: 0.001080
S5 0: 0.000030
S5 1: 0.000097
S5 2: 0.000419
Stage 5: 0.000876
S0 0: 0.000012
S0 1: 0.000823
Stage 0: 0.001077
S1 0: 0.000067
S1 1: 0.000350
S1 2: 0.000279
Stage 1: 0.001101
S2 0: 0.000015
S2 1: 0.000007
S2 2: 0.000011
S2 3: 0.000290
S2 4: 0.000714
S2 5: 0.000106
Stage 2: 0.001930
S3 0: 0.000003
S3 1: 0.000013
S3 2: 0.000015
S3 3: 0.000110
S3 3: 0.000014
S3 4: 0.000016
S3 5: 0.000184
S3 6: 0.000134
S3 7: 0.000075
Stage 3: 0.001620
S4 0: 0.000153
S4 1: 0.000311
S4 2: 0.000057
S4 3: 0.000195
Stage 4: 0.001067
S5 0: 0.000030
S5 1: 0.000097
S5 2: 0.000424
Stage 5: 0.000877
S0 0: 0.000012
S0 1: 0.000831
Stage 0: 0.001082
S1 0: 0.000067
S1 1: 0.000350
S1 2: 0.000279
